noise_multiplier,noise_label,predictor,mode,mean_rmse,RMSE_e_y,RMSE_e_psi,RMSE_v_y,RMSE_r
0.0,0x,koopman_edmd,one_step,0.00048596720731579806,0.0019151242224849947,1.4189585887971543e-05,3.014649069687888e-08,1.4524874399529176e-05
0.0,0x,sindy,one_step,1.656198914678218e-08,1.8660255555073728e-10,1.803723280115536e-08,3.817429781545807e-08,9.849823414964563e-09
0.0,0x,koopman_edmd,multi_step,0.06094553532211023,0.2414908031059803,0.0018245990220096993,0.0003010638457858841,0.00016567531466501605
0.0,0x,sindy,multi_step,2.685875449516196e-06,9.405140221567233e-06,1.0415573429299672e-06,2.0702380907857023e-07,8.978042448901331e-08
1.0,1x,koopman_edmd,one_step,0.0010374915144903375,0.002177804800440234,0.00010133373290228315,0.0009366550957158509,0.0009341724289029823
1.0,1x,sindy,one_step,0.0007421606279505286,0.0009981209079437277,0.00010007893165004735,0.000936655706233042,0.0009337869659752972
1.0,1x,koopman_edmd,multi_step,0.0609387681927061,0.2413165517487566,0.0018331649943779762,0.00038959140540825146,0.00021576462228157356
1.0,1x,sindy,multi_step,0.0006391192632696905,0.0020994506693492935,0.00011383862680627906,0.00022067701389609103,0.00012251074302709823
2.0,2x,koopman_edmd,one_step,0.0016764848155345002,0.0027591261240819346,0.00020118846418721963,0.0018784282750092562,0.0018671963988595899
2.0,2x,sindy,one_step,0.0014819149197552138,0.001981621288478527,0.00020053807546385107,0.0018784274409860125,0.001867072874092465
2.0,2x,koopman_edmd,multi_step,0.06065706240167525,0.23991267373635283,0.0017422731622860055,0.0006006071042244729,0.00037269560383770107
2.0,2x,sindy,multi_step,0.0015408168426643296,0.0050757255754313585,0.0002881672072111317,0.0004868754006861151,0.0003124991873287135
5.0,5x,koopman_edmd,one_step,0.003781899823026266,0.005381611281821202,0.0005050680088841241,0.004668647090022802,0.004572272911376935
5.0,5x,sindy,one_step,0.0036850805772392263,0.004994228265776608,0.0005049855137454146,0.004668648167922471,0.00457246036151241
5.0,5x,koopman_edmd,multi_step,0.06140478828611678,0.24189730069416146,0.001873196794776612,0.0011458436461294933,0.0007028120093995566
5.0,5x,sindy,multi_step,0.0031867505704374125,0.010443089457072589,0.0005731897730701423,0.0010758335698832868,0.0006548894817236325
10.0,10x,koopman_edmd,one_step,0.007532876644634024,0.010304061649892754,0.0010103964359063806,0.0094739471433373,0.00934310134939966
10.0,10x,sindy,one_step,0.007490181548892927,0.01013350746779205,0.0010102637717299618,0.009473949777814615,0.009343005178235081
10.0,10x,koopman_edmd,multi_step,0.06045126211405482,0.23606517131727797,0.0018258291965900907,0.002502323142632624,0.0014117247997185959
10.0,10x,sindy,multi_step,0.0072246087848236796,0.023806102847930194,0.0012047418529179082,0.00248520955782806,0.0014023808806185542
