traj,model,rmse_ey,rmse_epsi,rmse_vy,rmse_r
6,EDMD,39.73506354372577,0.022943900360514687,0.00032576049425380013,0.00017101440400297597
6,SINDy,20.190428197784318,0.012078632710734147,0.00185282596638052,0.0010150461510337648
17,EDMD,39.73507832512453,0.02294407293162244,0.000325760493367215,0.0001710144043950614
17,SINDy,19.869688377409894,0.01635716928813857,0.0010294257181177391,0.0005306768707165677
18,EDMD,39.73507569050333,0.022943944012330054,0.00032576045542543686,0.00017101438641831026
18,SINDy,72.38996950579867,0.008580008699895916,0.0012279178685691043,0.0006369202983337783
