traj_idx,rmse_e_y,rmse_e_psi,rmse_v_y,rmse_r,horizon_steps
6,6.645867230182129e-08,4.0485156738566696e-09,7.534921657546394e-10,4.970411767689923e-10,200
17,5.5180371590439573e-08,4.1280932628420995e-09,2.2688551901983539e-10,1.4075198730330642e-10,200
18,5.073585620457067e-08,8.220782266905656e-09,5.026011784882003e-10,2.9068775936850753e-10,200
mean,5.7458300032277183e-08,5.4657970678681424e-09,4.94326287754225e-10,3.094936411469354e-10,200
