MAX_abs_delta_rad,MAX_abs_deltarate_rads,MAX_abs_deltastep_rad,MAX_abs_e_psi_rad,MAX_abs_e_y_m,RMS_delta_rad,RMS_deltarate_rads,RMS_deltastep_rad,RMS_e_psi_rad,RMS_e_y_m,Vx,controller,maneuver
0.0065480204679768,0.0169270243406308,0.0008463512170315,0.0022630153218408,0.0026929778849661,0.0038467653267779,0.004066948030313,0.0002033474015156,0.0010635192736017,0.0015828064916895,10.0,baseline_lqr,lane_change
0.006510324126166,0.0183184581352037,0.0009159229067601,0.0019497173171859,0.0004795000201287,0.0038382939733544,0.0043027239095425,0.0002151361954771,0.0010143351543068,0.0001574530045449,10.0,baseline_lqr,lane_change
0.0461754293833452,0.6408319788836244,0.0320415989441812,0.0143742921232862,0.0404677534395751,0.007017415940181,0.0719779740528451,0.0035988987026422,0.0021540030858213,0.0370842573161083,10.0,koopman_fixed,lane_change
0.502210503859606,0.8356070753683631,0.0417803537684181,1.4098871433644669,13.812767092630471,0.2741306744816859,0.5492095384287672,0.0274604769214383,0.5365958706831215,5.362674058131442,10.0,koopman_vxaware,lane_change
0.0087558673540564,0.0234343947301344,0.0011717197365067,0.0034471049441849,0.0195208830160099,0.004403246478745,0.0057483830030852,0.0002874191501542,0.0009395339415606,0.0110810418923973,15.0,baseline_lqr,lane_change
0.009283597700744,0.0288678258678563,0.0014433912933928,0.0025310542710252,0.0074502194295702,0.004384856721751,0.006804215360062,0.0003402107680031,0.0006402551850544,0.0041885137954739,15.0,baseline_lqr,lane_change
0.0461754293833452,0.698195956889486,0.0349097978444743,0.0169289223878992,0.038795847170864,0.0081441013120783,0.081237264363799,0.0040618632181899,0.0024895869908376,0.0356431222713614,15.0,koopman_fixed,lane_change
0.5018713367213944,1.0721738308122009,0.05360869154061,5.041265180192951,53.91673072308741,0.3598885841211818,0.5583609821769976,0.0279180491088498,1.9486663788135967,25.83937270311176,15.0,koopman_vxaware,lane_change
0.0105606246007776,0.0299491068333989,0.0014974553416699,0.0068985634645894,0.0579367580818616,0.0051032016738617,0.0072156623502917,0.0003607831175145,0.0024896273344594,0.0331122428198965,20.0,baseline_lqr,lane_change
0.0120730345890675,0.03946848801377,0.0019734244006885,0.0054340583630121,0.0230163072172853,0.005097706926537,0.0094956657330447,0.0004747832866522,0.0022516968890241,0.0128657391062368,20.0,baseline_lqr,lane_change
0.0461754293833452,0.6916304177140278,0.0345815208857013,0.0187946470927128,0.0463582865161891,0.0131474279564248,0.1088013003774989,0.0054400650188749,0.0068324807690055,0.0349174027187821,20.0,koopman_fixed,lane_change
0.5203834113266596,0.9745613108764896,0.0487280655438244,5.178226585633343,115.26112479794529,0.3889581977619309,0.564657266276909,0.0282328633138454,2.5997371745178315,58.16676812606199,20.0,koopman_vxaware,lane_change
0.0121194672938848,0.0361006858237417,0.001805034291187,0.0110130645003632,0.1273742762087636,0.0059417927402657,0.0085020928492056,0.0004251046424602,0.0047083175023963,0.0734314997961975,25.0,baseline_lqr,lane_change
0.0148900390679038,0.0516325604995628,0.0025816280249781,0.0090988435510203,0.0503813085714706,0.0059593744165475,0.0121263038324995,0.0006063151916249,0.0045212632046742,0.0282923168911471,25.0,baseline_lqr,lane_change
0.5386403855952236,4.319994940304693,0.2159997470152346,4.725998603432045,201.278509998891,0.3751265779397713,0.6463673730327408,0.032318368651637,2.0710178477667203,82.75170659054501,25.0,koopman_fixed,lane_change
0.520885778788306,1.7669208767454314,0.0883460438372715,7.7228691820668125,371.1443241324695,0.4011135425615786,0.5887811297865562,0.0294390564893278,3.7881528597945215,117.84006183542134,25.0,koopman_vxaware,lane_change
0.0062031207550359,0.004720901706916,0.0002360450853458,0.0016963616835617,0.0025628240848678,0.0042912354718459,0.0033729275368119,0.0001686463768405,0.0011856544322445,0.0016988694138342,10.0,baseline_lqr,slalom
0.0061641008065441,0.0048637580306769,0.0002431879015338,0.0016174004897399,0.0002323132802516,0.004267762978547,0.00335333813374,0.000167666906687,0.001119966851832,0.0001521040297139,10.0,baseline_lqr,slalom
0.0478924109994278,0.6363239416630467,0.0318161970831523,0.0146752530148976,0.0402196534049005,0.0072935479320167,0.0732805191789499,0.0036640259589474,0.0022124773497652,0.0357453755283021,10.0,koopman_fixed,slalom
0.5035911158058461,0.8095746773579354,0.0404787338678967,1.4061779407738753,17.548066428281434,0.2293248308461984,0.5270689050420967,0.0263534452521048,0.486637018854289,5.373165274136137,10.0,koopman_vxaware,slalom
0.0070168806511145,0.0066102155681369,0.0003305107784068,0.0012320023687296,0.0179067244642075,0.004904724359105,0.003868453907255,0.0001934226953627,0.000847888790691,0.0120010816953944,15.0,baseline_lqr,slalom
0.0069244623556462,0.0074739042382709,0.0003736952119135,0.0007530391822009,0.0067327833953431,0.0048456093065348,0.0038292331888601,0.000191461659443,0.0005061602122104,0.0045427747059771,15.0,baseline_lqr,slalom
0.0478555969731955,0.6979967338719889,0.0348998366935994,0.0170949113751076,0.0396095722359459,0.0084222102378953,0.0818863748914057,0.0040943187445702,0.0024617245200324,0.0356365027477948,15.0,koopman_fixed,slalom
0.5076154286168352,0.8488173222333939,0.0424408661116696,3.597639708546724,62.79142876307976,0.3748564662584732,0.5308970017201693,0.0265448500860084,1.4982462857915515,29.790354700878016,15.0,koopman_vxaware,slalom
0.0081086886576604,0.0079843036417138,0.0003992151820856,0.0037958711373097,0.0536526518122947,0.0056972980951439,0.0045019739257711,0.0002250986962885,0.0024784716366048,0.0358306988122674,20.0,baseline_lqr,slalom
0.0079371440270195,0.0107057519699857,0.0005352875984992,0.0034102078341417,0.0206946799927901,0.0055884387797328,0.0044539466661866,0.0002226973333093,0.0022597219028623,0.0139464727139692,20.0,baseline_lqr,slalom
0.0478043412852605,0.6952214429057082,0.0347610721452854,0.0187886018398472,0.0463924152508119,0.0136716548311702,0.1107870131310037,0.0055393506565501,0.0070233634890348,0.0358284410926483,20.0,koopman_fixed,slalom
0.5095372635472992,0.9535608286270724,0.0476780414313536,5.361264005298294,131.24071989670352,0.3881074246194984,0.5593898597932851,0.0279694929896642,2.568418170316785,66.29742453494315,20.0,koopman_vxaware,slalom
0.0094966153827147,0.0094996228404953,0.0004749811420247,0.0074795520657251,0.1194481494853093,0.0066837789118168,0.0052821146938545,0.0002641057346927,0.0048851136904702,0.0793877648792901,25.0,baseline_lqr,slalom
0.0092171307860221,0.0163143834762,0.00081571917381,0.0070681786994995,0.0455794739828313,0.0065105103551727,0.0052325347737371,0.0002616267386868,0.0047165597085699,0.0306453461383531,25.0,baseline_lqr,slalom
0.5397917306606893,1.943180025990772,0.0971590012995385,5.521419085876884,212.54411624963652,0.3690579391244362,0.6005636669511837,0.0300281833475591,2.5735134880725608,70.0696828770351,25.0,koopman_fixed,slalom
0.5322768569105841,1.6813258057039815,0.084066290285199,7.7872562172207855,402.71584199982766,0.4027500261038715,0.598453084193224,0.0299226542096612,3.8473141110695095,129.51415199219903,25.0,koopman_vxaware,slalom
