maneuver,controller,RMS_e_y_m,MAX_abs_e_y_m,RMS_e_psi_rad,MAX_abs_e_psi_rad,RMS_delta_rad,MAX_abs_delta_rad,RMS_deltastep_rad,MAX_abs_deltastep_rad,RMS_deltarate_rads,MAX_abs_deltarate_rads
lane_change,baseline_lqr,0.009533759946174425,0.018609262342791574,0.0008125070841467143,0.0033200394047582854,0.003944974424128917,0.008831731910480433,5.263111279441572e-05,0.00024397164190790915,0.005263111279441572,0.024397164190790913
lane_change,koopman_mpc,0.03762019984172813,0.03938985060261428,0.001108467773050051,0.011686402421189724,0.004991194806467424,0.05558583621542857,0.0006326857458913904,0.008029906166689797,0.06326857458913905,0.8029906166689798
slalom,baseline_lqr,0.012183132228464325,0.017237668271638786,0.0008423658156063426,0.0012045612622389034,0.004963540441687877,0.00702243562833937,3.782769901049692e-05,6.692595117850663e-05,0.003782769901049692,0.006692595117850663
slalom,koopman_mpc,0.03761891078574965,0.039361904551652595,0.0010980062143958495,0.011395121395718601,0.005757415958706369,0.055963625809318136,0.0006280796373078386,0.00803314631455211,0.06280796373078386,0.803314631455211
