Vx,maneuver,controller,RMS_e_y_m,MAX_abs_e_y_m,RMS_e_psi_rad,MAX_abs_e_psi_rad,RMS_delta_rad,MAX_abs_delta_rad,RMS_deltastep_rad,MAX_abs_deltastep_rad,RMS_deltarate_rads,MAX_abs_deltarate_rads
10.0,lane_change,koopman_mpc,0.03708425731610836,0.04046775343957519,0.00215400308582131,0.014374292123286296,0.007017415940181097,0.0461754293833452,0.0035988987026422544,0.032041598944181224,0.0719779740528451,0.6408319788836244
10.0,lane_change,baseline_lqr,0.0015828064916895955,0.0026929778849661317,0.0010635192736017575,0.002263015321840865,0.0038467653267779604,0.006548020467976826,0.00020334740151565492,0.0008463512170315424,0.004066948030313098,0.01692702434063085
10.0,slalom,koopman_mpc,0.03574537552830215,0.04021965340490055,0.002212477349765228,0.014675253014897673,0.007293547932016715,0.04789241099942784,0.0036640259589474956,0.03181619708315234,0.07328051917894991,0.6363239416630467
10.0,slalom,baseline_lqr,0.0016988694138342494,0.002562824084867801,0.001185654432244515,0.001696361683561709,0.004291235471845996,0.006203120755035909,0.00016864637684059716,0.0002360450853458049,0.0033729275368119434,0.004720901706916098
15.0,lane_change,koopman_mpc,0.03564312227136141,0.03879584717086406,0.0024895869908376643,0.016928922387899246,0.0081441013120783,0.0461754293833452,0.004061863218189955,0.0349097978444743,0.08123726436379909,0.698195956889486
15.0,lane_change,baseline_lqr,0.011081041892397395,0.019520883016009974,0.0009395339415606494,0.003447104944184972,0.0044032464787450605,0.00875586735405643,0.0002874191501542645,0.0011717197365067235,0.005748383003085289,0.02343439473013447
15.0,slalom,koopman_mpc,0.03563650274779483,0.03960957223594592,0.0024617245200324583,0.017094911375107668,0.00842221023789535,0.047855596973195566,0.004094318744570288,0.034899836693599445,0.08188637489140575,0.6979967338719889
15.0,slalom,baseline_lqr,0.012001081695394468,0.017906724464207546,0.0008478887906910551,0.0012320023687296825,0.004904724359105019,0.007016880651114592,0.00019342269536275076,0.00033051077840684897,0.0038684539072550146,0.006610215568136979
20.0,lane_change,koopman_mpc,0.03491740271878217,0.046358286516189125,0.006832480769005557,0.01879464709271286,0.013147427956424856,0.0461754293833452,0.005440065018874945,0.03458152088570139,0.1088013003774989,0.6916304177140278
20.0,lane_change,baseline_lqr,0.0331122428198965,0.057936758081861627,0.0024896273344594635,0.006898563464589458,0.00510320167386172,0.010560624600777696,0.0003607831175145874,0.0014974553416699462,0.007215662350291747,0.029949106833398922
20.0,slalom,koopman_mpc,0.03582844109264834,0.04639241525081196,0.007023363489034859,0.01878860183984729,0.013671654831170244,0.04780434128526055,0.005539350656550187,0.03476107214528541,0.11078701313100373,0.6952214429057082
20.0,slalom,baseline_lqr,0.035830698812267414,0.05365265181229478,0.002478471636604813,0.003795871137309783,0.005697298095143933,0.008108688657660417,0.00022509869628855895,0.0003992151820856938,0.00450197392577118,0.007984303641713876
25.0,lane_change,koopman_mpc,82.75170659054501,201.278509998891,2.0710178477667203,4.725998603432045,0.37512657793977133,0.5386403855952236,0.03231836865163704,0.21599974701523467,0.6463673730327408,4.319994940304693
25.0,lane_change,baseline_lqr,0.07343149979619758,0.1273742762087636,0.004708317502396321,0.011013064500363249,0.005941792740265739,0.012119467293884897,0.00042510464246028407,0.0018050342911870888,0.00850209284920568,0.03610068582374178
25.0,slalom,koopman_mpc,70.0696828770351,212.54411624963655,2.5735134880725608,5.521419085876884,0.36905793912443624,0.5397917306606893,0.030028183347559186,0.09715900129953858,0.6005636669511837,1.9431800259907717
25.0,slalom,baseline_lqr,0.07938776487929018,0.11944814948530935,0.0048851136904702564,0.0074795520657251775,0.006683778911816817,0.009496615382714721,0.00026410573469272635,0.0004749811420247696,0.005282114693854528,0.009499622840495391
