Vx,maneuver,controller,RMS_e_y_m,MAX_abs_e_y_m,RMS_e_psi_rad,MAX_abs_e_psi_rad,RMS_delta_rad,MAX_abs_delta_rad,RMS_deltastep_rad,MAX_abs_deltastep_rad,RMS_deltarate_rads,MAX_abs_deltarate_rads
10.0,lane_change,koopman_mpc_vxaware,5.362674058131442,13.812767092630471,0.5365958706831215,1.4098871433644669,0.2741306744816859,0.502210503859606,0.0274604769214383,0.0417803537684181,0.5492095384287672,0.8356070753683631
10.0,lane_change,baseline_lqr,0.0001574530045449,0.0004795000201287,0.0010143351543068,0.0019497173171859,0.0038382939733544,0.006510324126166,0.0002151361954771,0.0009159229067601,0.0043027239095425,0.0183184581352037
10.0,slalom,koopman_mpc_vxaware,5.373165274136137,17.548066428281434,0.486637018854289,1.4061779407738753,0.2293248308461984,0.5035911158058461,0.0263534452521048,0.0404787338678967,0.5270689050420967,0.8095746773579354
10.0,slalom,baseline_lqr,0.0001521040297139,0.0002323132802516,0.001119966851832,0.0016174004897399,0.004267762978547,0.0061641008065441,0.000167666906687,0.0002431879015338,0.00335333813374,0.0048637580306769
15.0,lane_change,koopman_mpc_vxaware,25.83937270311176,53.91673072308741,1.9486663788135972,5.041265180192951,0.3598885841211818,0.5018713367213944,0.0279180491088498,0.05360869154061,0.5583609821769976,1.0721738308122009
15.0,lane_change,baseline_lqr,0.0041885137954739,0.0074502194295702,0.0006402551850544,0.0025310542710252,0.004384856721751,0.009283597700744,0.0003402107680031,0.0014433912933928,0.006804215360062,0.0288678258678563
15.0,slalom,koopman_mpc_vxaware,29.790354700878016,62.79142876307976,1.4982462857915515,3.597639708546724,0.3748564662584732,0.5076154286168352,0.0265448500860084,0.0424408661116696,0.5308970017201693,0.8488173222333939
15.0,slalom,baseline_lqr,0.0045427747059771,0.0067327833953431,0.0005061602122104,0.0007530391822009,0.0048456093065348,0.0069244623556462,0.000191461659443,0.0003736952119135,0.0038292331888601,0.0074739042382709
20.0,lane_change,koopman_mpc_vxaware,58.16676812606199,115.26112479794529,2.5997371745178315,5.178226585633343,0.3889581977619309,0.5203834113266596,0.0282328633138454,0.0487280655438244,0.564657266276909,0.9745613108764896
20.0,lane_change,baseline_lqr,0.0128657391062368,0.0230163072172853,0.0022516968890241,0.0054340583630121,0.005097706926537,0.0120730345890675,0.0004747832866522,0.0019734244006885,0.0094956657330447,0.03946848801377
20.0,slalom,koopman_mpc_vxaware,66.29742453494315,131.24071989670352,2.568418170316785,5.361264005298294,0.3881074246194984,0.5095372635472992,0.0279694929896642,0.0476780414313536,0.5593898597932851,0.9535608286270724
20.0,slalom,baseline_lqr,0.0139464727139692,0.0206946799927901,0.0022597219028623,0.0034102078341417,0.0055884387797328,0.0079371440270195,0.0002226973333093,0.0005352875984992,0.0044539466661866,0.0107057519699857
25.0,lane_change,koopman_mpc_vxaware,117.84006183542134,371.1443241324695,3.7881528597945215,7.7228691820668125,0.4011135425615786,0.520885778788306,0.0294390564893278,0.0883460438372715,0.5887811297865562,1.7669208767454314
25.0,lane_change,baseline_lqr,0.0282923168911471,0.0503813085714706,0.0045212632046742,0.0090988435510203,0.0059593744165475,0.0148900390679038,0.0006063151916249,0.0025816280249781,0.0121263038324995,0.0516325604995628
25.0,slalom,koopman_mpc_vxaware,129.51415199219903,402.71584199982766,3.8473141110695095,7.7872562172207855,0.4027500261038715,0.5322768569105841,0.0299226542096612,0.084066290285199,0.598453084193224,1.6813258057039815
25.0,slalom,baseline_lqr,0.0306453461383531,0.0455794739828313,0.0047165597085699,0.0070681786994995,0.0065105103551727,0.0092171307860221,0.0002616267386868,0.00081571917381,0.0052325347737371,0.0163143834762
