index,singular_value,relative_to_sigma_max
1,453.47801341549524,1.0
2,359.8345557211053,0.7934994532831078
3,323.08003622631736,0.7124491743115627
4,306.3270739952314,0.6755059009102651
5,278.5190381702856,0.614184216060537
6,237.96232614344112,0.5247494235743911
7,231.27425313103248,0.5100010282507996
8,228.33828790048497,0.5035267006236794
9,221.0077504509225,0.48736155648725155
10,214.55446536322333,0.4731309104651997
11,181.92027717034267,0.40116669780781594
12,132.8122634457295,0.2928747580184035
13,110.4163104769126,0.24348768233608853
14,100.24658891198646,0.2210616302143328
15,60.159257451687104,0.13266190569765665
16,18.56440731276499,0.04093783328753254
17,3.854178637657129,0.008499152160935688
18,1.680269894792108,0.0037052951743717184
19,3.954192729471092e-16,8.71970109353041e-19
