state,koopman_onestep_rmse,sindy_onestep_rmse,koopman_multistep_rmse,sindy_multistep_rmse
e_y,0.0019151249571583847,3.130420494379266e-10,0.24149085123297045,7.886048589675234e-06
e_psi,1.4189724498891274e-05,1.4637468790456628e-08,0.0018246038546746591,8.775914055149795e-07
v_y,3.014663606478055e-08,1.66555284818031e-08,0.000301063952201222,1.5671477834451059e-07
r,1.4524880702793264e-05,4.824484151752003e-09,0.0001656753644083043,7.301898461588424e-08
